
2024/08/04 (12:42:11) | ===> btop++ v.1.3.2
2024/08/04 (12:42:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/04 (12:42:47) | ===> btop++ v.1.3.2
2024/08/04 (12:42:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/06 (23:17:21) | ===> btop++ v.1.3.2
2024/08/06 (23:17:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/06 (23:45:31) | ===> btop++ v.1.3.2
2024/08/06 (23:45:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (15:10:25) | ===> btop++ v.1.3.2
2024/08/07 (15:10:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
